"","X","system.index","CATEGORIA","COD_UICN","NOMBRE","SQ_KM","SUBCAT","sqKm2000","landCoverCode","cumSum","cumPerc","perc","IUCNCat"
"1",948,"2_0000b976ab335384d796","Parque Nacional","II - UICN","Sierra de Bahoruco",1092.27,"PARQUE NACIONAL",140.25112618556,2,140.25112618556,0.386254495186096,0.386254495186096,"II"
"2",882,"2_00009c346b8616af116a","Parque Nacional","II - UICN","José del Carmen Ramírez",749.758,"PARQUE NACIONAL",68.8139087202941,2,209.065034905854,0.575769419575173,0.189514924389077,"II"
"3",871,"2_00005fbfda11a5ee6390","Parque Nacional","II - UICN","Valle Nuevo",906.131,"PARQUE NACIONAL",53.8215331608961,2,262.88656806675,0.723995032349925,0.148225612774752,"II"
"4",881,"2_0000b8391591d501c34e","Parque Nacional","II - UICN","Armando Bermúdez",802.55,"PARQUE NACIONAL",34.0115365286118,2,296.898104595362,0.817663505678127,0.093668473328202,"II"
"5",883,"2_000058c137fd6691da43","Reserva Natural","V - UICN","Alto bao",262.582,"RESERVA FORESTAL",23.711784583357,2,320.609889178719,0.882966249643893,0.0653027439657664,"V"
"6",884,"2_0000c5755af7c8e60712","Parque Nacional","II - UICN","Manolo Tavarez Justo",351.727,"PARQUE NACIONAL",15.3353677303728,2,335.945256909092,0.925200168773721,0.0422339191298284,"II"
"7",892,"2_0000e4f5edfbaeb81658","Parque Nacional","II - UICN","Sierra de Neiba",183,"PARQUE NACIONAL",8.60664530731347,2,344.551902216405,0.948903047522972,0.0237028787492504,"II"
"8",894,"2_0000b2b9f5eb60eb3439","Parque Nacional","II - UICN","Nalga de Maco",165.849,"PARQUE NACIONAL",8.41560708516568,2,352.967509301571,0.972079803066913,0.0231767555439414,"II"
"9",880,"2_0000d5b368408a3dd11d","Parque Nacional","II - UICN","Baiguate",52.427,"PARQUE NACIONAL",3.92100282621031,2,356.888512127781,0.982878325748701,0.0107985226817883,"II"
"10",885,"2_000021295758d2f5ec63","Reserva Natural","V - UICN","Alto Mao",210.115,"RESERVA FORESTAL",2.94883628225197,2,359.837348410033,0.99099948171062,0.00812115596191875,"V"
"11",947,"2_0000f8bd717b84eaf95f","Área de Protección Estricta","Ib - UICN","Loma Charco Azul",174.189,"RESERVA BIOLOGICA",1.10554225723222,2,360.942890667265,0.994044167896663,0.00304468618604286,"Ib"
"12",953,"2_0000329a90bc16ab6b31","Área de Manejo de Hábitat/Especies","III - UICN","Monumento Natural Miguel Domingo Fuerte",33.529,"REFUGIO DE VIDA SILVESTRE",0.3963643403003,2,361.339255007566,0.995135763467667,0.00109159557100387,"III"
"13",878,"2_0000193c3762839caaeb","Paisaje Protegido","VI - UICN","Guagui",41.474,"AREA NACIONAL DE RECREO",0.276836378639215,2,361.616091386205,0.995898176566147,0.000762413098479962,"VI"
"14",872,"2_0000e928b935296be8a7","Parque Nacional","II - UICN","Francisco Alberto Caamaño Deñó",587.51,"PARQUE NACIONAL",0.264658240953884,2,361.880749627159,0.996627050822181,0.00072887425603437,"II"
"15",879,"2_00009a59228fd616ceb0","Paisaje Protegido","VI - UICN","Carretera Bayacanes-Jarabacoa",16.227,"VIA PANORAMICA",0.250509988247843,2,362.131259615407,0.997316960498355,0.000689909676174192,"VI"
"16",874,"2_00002117903385afb872","Paisaje Protegido","VI - UICN","Carretera El Abanico - Constanza",22.746,"VIA PANORAMICA",0.215316440195066,2,362.346576055602,0.997909946417077,0.000592985918721095,"VI"
"17",873,"2_0000d524ac8d6f750e9b","RESERVAS NATURALES","V - UICN","Hatillo",319.18,"RESERVA FORESTAL",0.206862578653002,2,362.553438634255,0.99847965022669,0.000569703809613587,"V"
"18",877,"2_0000a41b7df193a309f3","Monumento Natural","III - UICN","Salto de Jimenoa",17.431,"MONUMENTO NATURAL",0.160756300805525,2,362.71419493506,0.998922376395844,0.000442726169153679,"III"
"19",875,"2_0000c009dca2cb3f0f00","Área de Protección Estricta","Ia - UICN","Las Neblinas",40.776,"RESERVA CIENTIFICA",0.142854850801679,2,362.857049785862,0.999315801602343,0.000393425206499117,"Ia"
"20",899,"2_0000c2339b4d30fe257c","Reserva Natural","V - UICN","Cerro Chacuey",51.893,"RESERVA FORESTAL",0.113810784813232,2,362.970860570675,0.999629238851871,0.000313437249527729,"V"
"21",935,"2_0000f9514c545894c37c","Parque Nacional","II - UICN","Picky Lora",112.276,"PARQUE NACIONAL",0.0578590660119629,2,363.028719636687,0.99978858391342,0.00015934506154925,"II"
"22",954,"2_0000f36b60883ecf46f3","Paisaje Protegido","VI - UICN","Carretera Cabral - Polo",10.156,"VIA PANORAMICA",0.0378758246990033,2,363.066595461386,0.999892894716098,0.000104310802677724,"VI"
"23",893,"2_0000834349b2e6e5402f","Monumento Natural","III - UICN","Cerro de San Francisco",4.025,"MONUMENTO NATURAL",0.0207606983361816,2,363.087356159722,0.999950070107652,5.7175391554027e-05,"III"
"24",876,"2_0000ac903da689fbd039","Área de Protección Estricta","Ia - UICN","Ébano Verde",29.899,"RESERVA CIENTIFICA",0.0163103882187907,2,363.103666547941,0.999994989253323,4.49191456716223e-05,"Ia"
"25",886,"2_00003b22da69d14df7b5","Reserva Natural","V - UICN","Guanito",68.945,"RESERVA FORESTAL",0.00167800709838867,2,363.105344555039,0.999999610519493,4.62126616972244e-06,"V"
"26",865,"2_00009543f2dfcde6f4aa","Paisaje Protegido","VI - UICN","Autopista Duarte",10.366,"CORREDOR ECOLOGICO",0.000141422508781882,2,363.105485977548,1,3.89480507024415e-07,"VI"
"27",806,"2_0000db6f74a1140a48ec","Paisaje Protegido","VI - UICN","Autopista 6 de Noviembre",3.64,"CORREDOR ECOLOGICO",0,2,363.105485977548,1,0,"VI"
"28",807,"2_0000c451075b23e5802d","Paisaje Protegido","VI - UICN","Autopista 6 de Noviembre",3.64,"CORREDOR ECOLOGICO",0,2,363.105485977548,1,0,"VI"
"29",808,"2_0000bf93afe62ed07a2c","Reserva Natural","V - UICN","Cerro de Bocanigua",29.208,"RESERVA FORESTAL",0,2,363.105485977548,1,0,"V"
"30",809,"2_00000ff7eb15b950099d","Monumento Natural","III - UICN","Don Rafael Herrera Cabral",0.495,"AREA DE PROTECCION ESPECIAL",0,2,363.105485977548,1,0,"III"
"31",810,"2_0000fa283ee10d34e2a8","Parque Nacional","II - UICN","Máximo Gómez",42.295,"PARQUE NACIONAL",0,2,363.105485977548,1,0,"II"
"32",811,"2_00004c9de295cee01390","Parque Nacional","II - UICN","Luis Quin",197.294,"PARQUE NACIONAL",0,2,363.105485977548,1,0,"II"
"33",812,"2_00004e3d4ddc6137c059","Área de Protección Estricta","Ia - UICN","Loma Barbacoa",13.708,"RESERVA CIENTIFICA",0,2,363.105485977548,1,0,"Ia"
"34",813,"2_00003d834babc82df9c7","Monumento Natural","III - UICN","Reserva Antropológica Cuevas de Borbón o del Pomier",5.022,"MONUMENTO NATURAL",0,2,363.105485977548,1,0,"III"
"35",814,"2_000016ca712539e81bfc","Paisaje Protegido","V - UICN","Boca de Nigua",5.815,"AREA NACIONAL DE RECREO",0,2,363.105485977548,1,0,"V"
"36",815,"2_0000fcf7e3fe8b2b437b","Parque Nacional","II - UICN","Submarino La Caleta",11.153,"PARQUE NACIONAL SUBMARINO",0,2,363.105485977548,1,0,"II"
"37",816,"2_0000764c442957d5ae5b","Paisaje Protegido","VI - UICN","Autopista Juan Bosch",5.556,"CORREDOR ECOLOGICO",0,2,363.105485977548,1,0,"VI"
"38",817,"2_0000f8c06163f8b84756","Área de Manejo de Hábitat/Especies","IV - UICN","Arrecifes del Sureste",7860.712,"SANTUARIO MARINO",0,2,363.105485977548,1,0,"IV"
"39",818,"2_000020f3c6a1c4dc9cab","Monumento Natural","III - UICN","Isla Catalina",16.239,"MONUMENTO NATURAL",0,2,363.105485977548,1,0,"III"
"40",819,"2_0000039059b3d9d553f4","Paisaje Protegido","VI - UICN","Guaraguao - Punta Catuano",18.595,"AREA NACIONAL DE RECREO",0,2,363.105485977548,1,0,"VI"
