"","X","system.index","CATEGORIA","COD_UICN","NOMBRE","SQ_KM","SUBCAT","sqKm2000","landCoverCode","cumSum","cumPerc","perc","IUCNCat"
"1",4845,"2_0000fd9913b1b9492eed","Parque Nacional","II - UICN","Cotubanamá  (Del Este)",796.405,"PARQUE NACIONAL",293.178625181629,8,293.178625181629,0.480314998451326,0.480314998451326,"II"
"2",4973,"2_0000b976ab335384d796","Parque Nacional","II - UICN","Sierra de Bahoruco",1092.27,"PARQUE NACIONAL",89.4867354711626,8,382.665360652792,0.626921256607484,0.146606258156159,"II"
"3",4974,"2_0000daaed3084ee2efdf","Parque Nacional","II - UICN","Jaragua",1535.015,"PARQUE NACIONAL",49.1873198617737,8,431.852680514565,0.707504919378249,0.0805836627707643,"II"
"4",4848,"2_000003ccf46b1ae81f21","Parque Nacional","II - UICN","Punta Espada",82.238,"PARQUE NACIONAL",17.1395120577737,8,448.992192572339,0.735584608688429,0.0280796893101807,"II"
"5",4983,"2_0000aaf22e4a1778d2fe","Parque Nacional","II - UICN","Sierra Martín García",261.503,"PARQUE NACIONAL",15.0886208292103,8,464.080813401549,0.760304319703259,0.0247197110148292,"II"
"6",4892,"2_0000efb2f67ee8f573d7","Parque Nacional","II - UICN","Aniana Vargas",129.627,"PARQUE NACIONAL",14.7233702903861,8,478.804183691935,0.784425640191217,0.0241213204879584,"II"
"7",4968,"2_00001076cc0dbf02a873","Monumento Natural","III - UICN","Las Caobas",105.472,"MONUMENTO NATURAL",13.2364558542311,8,492.040639546167,0.806110946441587,0.02168530625037,"III"
"8",4844,"2_0000039059b3d9d553f4","Paisaje Protegido","VI - UICN","Guaraguao - Punta Catuano",18.595,"AREA NACIONAL DE RECREO",9.92870527770896,8,501.969344823875,0.822377159768469,0.0162662133268823,"VI"
"9",4972,"2_0000f8bd717b84eaf95f","Área de Protección Estricta","Ib - UICN","Loma Charco Azul",174.189,"RESERVA BIOLOGICA",9.71561759933561,8,511.684962423211,0.83829427121985,0.0159171114513807,"Ib"
"10",4924,"2_0000c2339b4d30fe257c","Reserva Natural","V - UICN","Cerro Chacuey",51.893,"RESERVA FORESTAL",8.84909768152182,8,520.534060104733,0.852791761739708,0.0144974905198584,"V"
"11",4847,"2_00000ebf3113d6c1215e","Monumento Natural","III - UICN","Hoyo Claro",39.296,"MONUMENTO NATURAL",7.68196497029507,8,528.216025075028,0.865377136920196,0.0125853751804878,"III"
"12",4966,"2_00006e10ac563b6026cb","Monumento Natural","III - UICN","Loma Isabel de Torres",16.605,"MONUMENTO NATURAL",7.30129736778375,8,535.517322442812,0.877338863774352,0.0119617268541563,"III"
"13",4915,"2_0000d1fda9eb311324b3","Parque Nacional","II - UICN","Anacaona",538.931,"PARQUE NACIONAL",6.62323789133,8,542.140560334142,0.888189724731716,0.0108508609573638,"II"
"14",4916,"2_0000c7e25551cf31d5f4","RESERVAS NATURALES","V - UICN","Cabeza de Toro",375.619,"RESERVA FORESTAL",6.59362112483102,8,548.734181458973,0.898992064494377,0.0108023397626611,"V"
"15",4908,"2_000058c137fd6691da43","Reserva Natural","V - UICN","Alto bao",262.582,"RESERVA FORESTAL",6.10661389348323,8,554.840795352456,0.908996539551091,0.0100044750567138,"V"
"16",4946,"2_0000d7645f798cd8f682","Parque Nacional","II - UICN","La Hispaniola",54.826,"PARQUE NACIONAL",5.81829660140809,8,560.659091953864,0.918528663938957,0.00953212438786548,"II"
"17",4843,"2_000020f3c6a1c4dc9cab","Monumento Natural","III - UICN","Isla Catalina",16.239,"MONUMENTO NATURAL",3.86873631862433,8,564.527828272488,0.92486682067783,0.00633815673887358,"III"
