"","system.index","CATEGORIA","COD_UICN","NOMBRE","SQ_KM","SUBCAT","sqKmLost","landCoverCode","year"
"1","2_0000db6f74a1140a48ec","Paisaje Protegido","VI - UICN","Autopista 6 de Noviembre",3.64,"CORREDOR ECOLOGICO",NA,"1",2011
"2","2_0000c451075b23e5802d","Paisaje Protegido","VI - UICN","Autopista 6 de Noviembre",3.64,"CORREDOR ECOLOGICO",NA,"1",2011
"3","2_0000bf93afe62ed07a2c","Reserva Natural","V - UICN","Cerro de Bocanigua",29.208,"RESERVA FORESTAL",NA,"1",2011
"4","2_00000ff7eb15b950099d","Monumento Natural","III - UICN","Don Rafael Herrera Cabral",0.495,"AREA DE PROTECCION ESPECIAL",NA,"1",2011
"5","2_0000fa283ee10d34e2a8","Parque Nacional","II - UICN","Máximo Gómez",42.295,"PARQUE NACIONAL",NA,"1",2011
"6","2_00004c9de295cee01390","Parque Nacional","II - UICN","Luis Quin",197.294,"PARQUE NACIONAL",NA,"1",2011
"7","2_00004e3d4ddc6137c059","Área de Protección Estricta","Ia - UICN","Loma Barbacoa",13.708,"RESERVA CIENTIFICA",NA,"1",2011
"8","2_00003d834babc82df9c7","Monumento Natural","III - UICN","Reserva Antropológica Cuevas de Borbón o del Pomier",5.022,"MONUMENTO NATURAL",NA,"1",2011
"9","2_000016ca712539e81bfc","Paisaje Protegido","V - UICN","Boca de Nigua",5.815,"AREA NACIONAL DE RECREO",NA,"1",2011
"10","2_0000fcf7e3fe8b2b437b","Parque Nacional","II - UICN","Submarino La Caleta",11.153,"PARQUE NACIONAL SUBMARINO",NA,"1",2011
"11","2_0000764c442957d5ae5b","Paisaje Protegido","VI - UICN","Autopista Juan Bosch",5.556,"CORREDOR ECOLOGICO",NA,"1",2011
"12","2_0000f8c06163f8b84756","Área de Manejo de Hábitat/Especies","IV - UICN","Arrecifes del Sureste",7860.712,"SANTUARIO MARINO",NA,"1",2011
"13","2_000020f3c6a1c4dc9cab","Monumento Natural","III - UICN","Isla Catalina",16.239,"MONUMENTO NATURAL",NA,"1",2011
"14","2_0000039059b3d9d553f4","Paisaje Protegido","VI - UICN","Guaraguao - Punta Catuano",18.595,"AREA NACIONAL DE RECREO",NA,"1",2011
"15","2_0000fd9913b1b9492eed","Parque Nacional","II - UICN","Cotubanamá  (Del Este)",796.405,"PARQUE NACIONAL",NA,"1",2011
"16","2_0000e0ce5136adb372f8","Área de Manejo de Hábitat/Especies","IV - UICN","Lagunas de Bávaro y El Caletón",6.4,"REFUGIO DE VIDA SILVESTRE",NA,"1",2011
"17","2_00000ebf3113d6c1215e","Monumento Natural","III - UICN","Hoyo Claro",39.296,"MONUMENTO NATURAL",NA,"1",2011
"18","2_000003ccf46b1ae81f21","Parque Nacional","II - UICN","Punta Espada",82.238,"PARQUE NACIONAL",NA,"1",2011
"19","2_00007c7c512a2e5a0f70","Monumento Natural","III - UICN","Punta Bayahibe",1.507,"MONUMENTO NATURAL",NA,"1",2011
"20","2_00002c96bc8da7a8b6e1","Monumento Natural","III - UICN","Loma la Altagracia o Loma la Enea",0.675,"MONUMENTO NATURAL",NA,"1",2011
"21","2_0000b06cd5eec708891a","PAISAJES PROTEGIDOS","VI - UICN","Vía Panorámica Costa Azul",18.918,"VIA PANORAMICA",NA,"1",2011
"22","2_0000f462fc5d892fc577","Área de Manejo de Hábitat/Especies","IV - UICN","Ría Maimón",4.828,"REFUGIO DE VIDA SILVESTRE",NA,"1",2011
"23","2_0000fce0c24e1805a613","Área de Manejo de Hábitat/Especies","IV - UICN","Lagunas Redonda y Limón",32.253,"REFUGIO DE VIDA SILVESTRE",NA,"1",2011
"24","2_0000d54a6879b8f1fc77","Área de Protección Estricta","Ia - UICN","Santuario de los Bancos de La Plata y La Navidad",35270.055,"SANTUARIO DE MAMIFEROS MARINOS",NA,"1",2011
"25","2_00006a0c56e813dd722b","Monumento Natural","III - UICN","Laguna Gri-Grí",16.151,"MONUMENTO NATURAL",NA,"1",2011
"26","2_0000dc612fd23821a738","Paisaje Protegido","VI - UICN","Mirador del Atlántico",12.116,"VIA PANORAMICA",NA,"1",2011
"27","2_0000d41ac81dfc55fa2f","Monumento Natural","III - UICN","Lagunas Cabarete y Goleta",71.801,"MONUMENTO NATURAL",NA,"1",2011
"28","2_0000f2a2d824a008b435","Área de Protección Estricta","Ia - UICN","La Salcedoa",41.216,"RESERVA CIENTIFICA",NA,"1",2011
"29","2_00005eaa06b3665d60ce","Área de Protección Estricta","Ia - UICN","Loma Quita Espuela",75.737,"RESERVA CIENTIFICA",NA,"1",2011
"30","2_0000a528c46e5f5164f8","Área de Manejo de Hábitat/Especies","IV - UICN","La Gran Laguna o Perucho",7.32,"REFUGIO DE VIDA SILVESTRE",NA,"1",2011
"31","2_00005c34cbb1800494c4","Área de Protección Estricta","Ia - UICN","Santuario de los Bancos de La Plata y La Navidad",0.302,"SANTUARIO DE MAMIFEROS MARINOS",NA,"1",2011
"32","2_0000b4cd58c00b7bc103","Área de Protección Estricta","Ia - UICN","Loma Guaconejo",23.371,"RESERVA CIENTIFICA",NA,"1",2011
"33","2_000096c4da9fbc478a40","Paisaje Protegido","IV - UICN","Carretera Nagua - Sánchez",16.847,"VIA PANORAMICA",NA,"1",2011
"34","2_000053e64cce0747a976","Área de Manejo de Hábitat/Especies","IV - UICN","Gran Estero",152.16,"REFUGIO DE VIDA SILVESTRE",NA,"1",2011
"35","2_0000d194531576124c3f","Paisaje Protegido","VI - UICN","Autovia Santo Domingo - Samana - Boulevar del Atlantico",103.411,"VIA PANORAMICA",NA,"1",2011
"36","2_0000cdcb5769a5c302b6","Parque Nacional","II - UICN","Manglares del Bajo Yuna",121.155,"PARQUE NACIONAL",NA,"1",2011
"37","2_0000a5d843dbedc0869f","Paisaje Protegido","IV - UICN","Carretera Nagua - Sánchez",0,"VIA PANORAMICA",NA,"1",2011
"38","2_0000d88e17fd5aa4df25","Monumento Natural","III - UICN","El Saltadero",2.38,"MONUMENTO NATURAL",NA,"1",2011
"39","2_0000e41b0f7e2217341d","Monumento Natural","III - UICN","Bosque Húmedo de Río San Juan",1.593,"MONUMENTO NATURAL",NA,"1",2011
"40","2_000082d1b74ea5e5ceff","Monumento Natural","III - UICN","Cabo Francés Viejo",0.247,"MONUMENTO NATURAL",NA,"1",2011
"41","2_0000e5fbd7c3686e678f","Parque Nacional","II - UICN","Cabo Cabrón",35.623,"PARQUE NACIONAL",NA,"1",2011
"42","2_00009037f8ad8d850e10","Monumento Natural","III - UICN","Cabo Samaná",9.271,"MONUMENTO NATURAL",NA,"1",2011
"43","2_000077e1942d05f83399","Área de Protección Estricta","Ia - UICN","Santuario de los Bancos de La Plata y La Navidad",0.265,"SANTUARIO DE MAMIFEROS MARINOS",NA,"1",2011
"44","2_0000e4a2e995c1356c9a","Área de Protección Estricta","Ia - UICN","Santuario de los Bancos de La Plata y La Navidad",0.024,"SANTUARIO DE MAMIFEROS MARINOS",NA,"1",2011
"45","2_000055fc039a0baf69b9","Monumento Natural","III - UICN","Salto El Limón",16.475,"MONUMENTO NATURAL",NA,"1",2011
"46","2_0000fb2ff63f33523634","Parque Nacional","II - UICN","Los Haitises",631.681,"PARQUE NACIONAL",NA,"1",2011
"47","2_0000450ec88e41eeb580","Monumento Natural","III - UICN","Salto de Socoa",68.303,"MONUMENTO NATURAL",NA,"1",2011
"48","2_0000625886cbbf9a9bd3","Monumento Natural","III - UICN","Salto Grande",14.759,"MONUMENTO NATURAL",NA,"1",2011
"49","2_0000ba6f1866348e0af6","Área de Manejo de Hábitat/Especies","IV - UICN","Manglar de la Jina",52.864,"REFUGIO DE VIDA SILVESTRE",NA,"1",2011
"50","2_000035a6e2a628dfb43f","Parque Nacional","II - UICN","Saltos de la Jalda",36.434,"PARQUE NACIONAL",NA,"1",2011
"51","2_0000cd33ee04d148f8aa","Área de Protección Estricta","Ia - UICN","Santuario de los Bancos de La Plata y La Navidad",0.524,"SANTUARIO DE MAMIFEROS MARINOS",NA,"1",2011
"52","2_0000019fb0a460ed7ef0","Monumento Natural","III - UICN","Río Cumayasa y Cueva de las Maravillas",88.76,"MONUMENTO NATURAL",NA,"1",2011
