"","X","system.index","CATEGORIA","COD_UICN","NOMBRE","SQ_KM","SUBCAT","sqKm2000","landCoverCode","cumSum","cumPerc","perc","IUCNCat"
"1",76,"2_0000b8391591d501c34e","Parque Nacional","II - UICN","Armando Bermúdez",802.55,"PARQUE NACIONAL",371.377654148284,1,371.377654148284,0.274243388507696,0.274243388507696,"II"
"2",77,"2_00009c346b8616af116a","Parque Nacional","II - UICN","José del Carmen Ramírez",749.758,"PARQUE NACIONAL",308.33752484747,1,679.715178995754,0.501934868255379,0.227691479747683,"II"
"3",66,"2_00005fbfda11a5ee6390","Parque Nacional","II - UICN","Valle Nuevo",906.131,"PARQUE NACIONAL",225.353579892236,1,905.06875888799,0.668346952212671,0.166412083957292,"II"
"4",79,"2_0000c5755af7c8e60712","Parque Nacional","II - UICN","Manolo Tavarez Justo",351.727,"PARQUE NACIONAL",132.260200574745,1,1037.32895946273,0.76601434055759,0.0976673883449192,"II"
"5",143,"2_0000b976ab335384d796","Parque Nacional","II - UICN","Sierra de Bahoruco",1092.27,"PARQUE NACIONAL",96.5287673227685,1,1133.8577267855,0.837295894370456,0.0712815538128663,"II"
"6",80,"2_000021295758d2f5ec63","Reserva Natural","V - UICN","Alto Mao",210.115,"RESERVA FORESTAL",89.583609848558,1,1223.44133663406,0.903448804878665,0.0661529105082087,"V"
"7",78,"2_000058c137fd6691da43","Reserva Natural","V - UICN","Alto bao",262.582,"RESERVA FORESTAL",47.2845193608105,1,1270.72585599487,0.938366002153784,0.0349171972751186,"V"
"8",73,"2_0000193c3762839caaeb","Paisaje Protegido","VI - UICN","Guagui",41.474,"AREA NACIONAL DE RECREO",23.685385715353,1,1294.41124171023,0.955856447160732,0.0174904450069487,"VI"
"9",89,"2_0000b2b9f5eb60eb3439","Parque Nacional","II - UICN","Nalga de Maco",165.849,"PARQUE NACIONAL",22.0965012942526,1,1316.50774300448,0.972173582350242,0.0163171351895097,"II"
"10",75,"2_0000d5b368408a3dd11d","Parque Nacional","II - UICN","Baiguate",52.427,"PARQUE NACIONAL",12.5218208122866,1,1329.02956381676,0.98142030608682,0.00924672373657819,"II"
"11",94,"2_0000c2339b4d30fe257c","Reserva Natural","V - UICN","Cerro Chacuey",51.893,"RESERVA FORESTAL",9.01003438774319,1,1338.03959820451,0.988073755300754,0.006653449213934,"V"
"12",74,"2_00009a59228fd616ceb0","Paisaje Protegido","VI - UICN","Carretera Bayacanes-Jarabacoa",16.227,"VIA PANORAMICA",5.2749878071734,1,1343.31458601168,0.991969063794459,0.0038953084937049,"VI"
"13",87,"2_0000e4f5edfbaeb81658","Parque Nacional","II - UICN","Sierra de Neiba",183,"PARQUE NACIONAL",5.22570222688381,1,1348.54028823856,0.995827977409818,0.00385891361535881,"II"
"14",65,"2_000077501366bc6b0fd3","Reserva Natural","V - UICN","Loma Novillero",12.889,"RESERVA FORESTAL",4.85133045553542,1,1353.3916186941,0.999410436634372,0.00358245922455365,"V"
"15",148,"2_0000329a90bc16ab6b31","Área de Manejo de Hábitat/Especies","III - UICN","Monumento Natural Miguel Domingo Fuerte",33.529,"REFUGIO DE VIDA SILVESTRE",0.289375514939743,1,1353.68099420904,0.999624125640379,0.000213689006007205,"III"
"16",69,"2_00002117903385afb872","Paisaje Protegido","VI - UICN","Carretera El Abanico - Constanza",22.746,"VIA PANORAMICA",0.219240736212117,1,1353.90023494525,0.999786023702166,0.000161898061787331,"VI"
